subject_id;subject_source;object_source;predicate_id;object_id;subject_label;object_label;confidence;cardinality;mapping_justification
http://w3id.org/CEON/ontology/processODP/Plan;CEON;SCOPRO;;http://www.semanticweb.org/indonto/ontologies/2014/0/SCOPRO#Plan;Plan;Plan;1.0;=;
http://w3id.org/CEON/ontology/processODP/Process;CEON;SCOPRO;;http://www.semanticweb.org/indonto/ontologies/2014/0/SCOPRO#Process;Process;Process;1.0;=;
http://w3id.org/CEON/ontology/resourceODP/Resource;CEON;SCOPRO;;http://www.semanticweb.org/indonto/ontologies/2014/0/SCOPRO#Resource;Resource;Resource;1.0;=;
